"start_station_latitude","start_station_longitude","start_position","Weight"
"40.68415748","-73.96922273","40.68415748,-73.96922273","6829"
"40.6851532","-73.94111","40.6851532,-73.94111","1382"
"40.68528172","-73.97805813","40.68528172,-73.97805813","6386"
"40.68962188790333","-73.98304268717766","40.68962188790333,-73.98304268717766","1022"
"40.69128258","-73.9452416","40.69128258,-73.9452416","1013"
"40.6917823","-73.9737299","40.6917823,-73.9737299","6547"
"40.69327018","-73.97703874","40.69327018,-73.97703874","4309"
"40.69383","-73.990539","40.69383,-73.990539","13632"
"40.69475701","-73.99052739","40.69475701,-73.99052739","478"
"40.69475701363877","-73.99052739143372","40.69475701363877,-73.99052739143372","3956"
"40.69527008","-73.95238108","40.69527008,-73.95238108","670"
"40.69539817","-73.94954908","40.69539817,-73.94954908","1214"
"40.69597683","-73.99014892","40.69597683,-73.99014892","8878"
"40.69839895","-73.98068914","40.69839895,-73.98068914","4958"
"40.7016657","-73.9437303","40.7016657,-73.9437303","1299"
"40.707873","-74.00167","40.707873,-74.00167","26452"
"40.70955958","-74.00653609","40.70955958,-74.00653609","20665"
"40.71167351","-73.95141312","40.71167351,-73.95141312","1901"
"40.71406667","-73.99293911","40.71406667,-73.99293911","20924"
"40.7153379","-74.01658354","40.7153379,-74.01658354","65630"
"40.71622644","-73.98261206","40.71622644,-73.98261206","22273"
"40.7172274","-73.98802084","40.7172274,-73.98802084","21843"
"40.717318403855785","-73.94820213317871","40.717318403855785,-73.94820213317871","364"
"40.71754834","-74.01322069","40.71754834,-74.01322069","79061"
"40.717571","-74.005549","40.717571,-74.005549","19910"
"40.71850211","-73.98329859","40.71850211,-73.98329859","12986"
"40.72110063","-73.9919254","40.72110063,-73.9919254","21510"
"40.72185379","-74.00771779","40.72185379,-74.00771779","9155"
"40.72317958","-73.99480012","40.72317958,-73.99480012","38699"
"40.72325","-73.94308","40.72325,-73.94308","3865"
"40.72606","-73.95621","40.72606,-73.95621","2709"
"40.72621788","-73.98379855","40.72621788,-73.98379855","50335"
"40.72743423","-73.99379025","40.72743423,-73.99379025","32318"
"40.728145","-73.990214","40.728145,-73.990214","31209"
"40.72953837","-73.98426726","40.72953837,-73.98426726","34834"
"40.73038599","-74.00214988","40.73038599,-74.00214988","65614"
"40.73223272","-73.98889957","40.73223272,-73.98889957","44597"
"40.73726186","-73.99238967","40.73726186,-73.99238967","45945"
"40.739445","-73.976806","40.739445,-73.976806","25972"
"40.74096374","-73.98602213","40.74096374,-73.98602213","38834"
"40.74161","-73.96044","40.74161,-73.96044","1980"
"40.74290902","-73.97706058","40.74290902,-73.97706058","36449"
"40.743","-73.93561","40.743,-73.93561","631"
"40.74444921","-73.98303529","40.74444921,-73.98303529","41841"
"40.7462009","-73.98855723","40.7462009,-73.98855723","40819"
"40.746647","-73.993915","40.746647,-73.993915","48639"
"40.746745","-74.007756","40.746745,-74.007756","62800"
"40.74708586","-73.94977234","40.74708586,-73.94977234","2447"
"40.748238","-73.978311","40.748238,-73.978311","20451"
"40.7489006","-73.97604882","40.7489006,-73.97604882","33916"
"40.7500727","-73.99839279","40.7500727,-73.99839279","29730"
"40.75044999","-73.99481051","40.75044999,-73.99481051","6410"
"40.75206231","-73.9816324","40.75206231,-73.9816324","9466"
"40.75299641","-73.98721619","40.75299641,-73.98721619","28630"
"40.75645824","-73.99372222","40.75645824,-73.99372222","44034"
"40.7568001","-73.98291153","40.7568001,-73.98291153","23952"
"40.75724567911726","-73.97805914282799","40.75724567911726,-73.97805914282799","7734"
"40.76009437","-73.99461843","40.76009437,-73.99461843","37835"
"40.76269882","-73.99301222","40.76269882,-73.99301222","29676"
"40.7643971","-73.97371465","40.7643971,-73.97371465","52030"
"40.77112927","-73.95772297","40.77112927,-73.95772297","7522"
"40.77536905","-73.94803392","40.77536905,-73.94803392","6735"
"40.78339981","-73.98093133","40.78339981,-73.98093133","3671"
"40.6814598","-73.934903","40.6814598,-73.934903","682"
"40.68312489","-73.97895137","40.68312489,-73.97895137","12791"
"40.68317813","-73.9659641","40.68317813,-73.9659641","454"
"40.6845683","-73.95881081","40.6845683,-73.95881081","2808"
"40.68900443","-73.96023854","40.68900443,-73.96023854","5737"
"40.6906495","-73.95643107","40.6906495,-73.95643107","4028"
"40.69102925677968","-73.99183362722397","40.69102925677968,-73.99183362722397","15"
"40.69196035","-73.96536851","40.69196035,-73.96536851","7375"
"40.69425403","-73.94626915","40.69425403,-73.94626915","1254"
"40.695065","-73.987167","40.695065,-73.987167","13141"
"40.69580705","-73.97355569","40.69580705,-73.97355569","4603"
"40.69622937","-73.94371094","40.69622937,-73.94371094","557"
"40.69788349","-73.97350332","40.69788349,-73.97350332","2429"
"40.69878","-73.99712","40.69878,-73.99712","3327"
"40.70255088","-73.98940236","40.70255088,-73.98940236","15654"
"40.70823502","-74.00530063","40.70823502,-74.00530063","21415"
"40.711066","-74.009447","40.711066,-74.009447","8460"
"40.71494807","-74.00234482","40.71494807,-74.00234482","22059"
"40.71745169","-73.95850939","40.71745169,-73.95850939","9098"
"40.71782143","-73.97628939","40.71782143,-73.97628939","13359"
"40.71870987","-74.0090009","40.71870987,-74.0090009","15779"
"40.71924","-73.95242","40.71924,-73.95242","850"
"40.72019576","-73.98997825","40.72019576,-73.98997825","39153"
"40.72228087","-73.97668709","40.72228087,-73.97668709","14670"
"40.72873888","-74.00748842","40.72873888,-74.00748842","8135"
"40.72938685","-73.97772429","40.72938685,-73.97772429","49620"
"40.73224119","-74.00026394","40.73224119,-74.00026394","24461"
"40.73381219","-73.98054421","40.73381219,-73.98054421","2974"
"40.73454567","-73.99074142","40.73454567,-73.99074142","73682"
"40.74173969","-73.99415556","40.74173969,-73.99415556","87149"
"40.74232744","-73.95411749","40.74232744,-73.95411749","6437"
"40.7423543","-73.98915076","40.7423543,-73.98915076","60968"
"40.74487634","-73.99529885","40.74487634,-73.99529885","53083"
"40.7451677","-73.98683077","40.7451677,-73.98683077","40371"
"40.74734825","-73.99723551","40.74734825,-73.99723551","46488"
"40.74901271","-73.98848395","40.74901271,-73.98848395","48066"
"40.74966","-73.9521","40.74966,-73.9521","1120"
"40.75096734871598","-73.99444207549095","40.75096734871598,-73.99444207549095","80736"
